,Age,Gender,Weight,Height,BMI,Smoking,Alcohol_Intake,Physical_Activity,Diet,Stress_Level,Hypertension,Diabetes,Hyperlipidemia,Family_History,Previous_Heart_Attack,Systolic_BP,Diastolic_BP,Heart_Rate,Blood_Sugar_Fasting,Cholesterol_Total,Heart_Disease
count,50000.0,50000,50000.0,50000.0,50000.0,50000,29891,50000,50000,50000,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
unique,,2,,,,3,3,3,3,3,,,,,,,,,,,
top,,Female,,,,Never,Low,Moderate,Average,Medium,,,,,,,,,,,
freq,,25110,,,,30160,14913,24976,25169,20133,,,,,,,,,,,
mean,54.46406,,84.54752,174.46,28.984284,,,,,,0.29962,0.19926,0.25166,0.4005,0.09928,139.29958,89.5288,84.44956,124.49302,224.55636,0.46346
std,14.438089814277236,,20.213256871782654,14.420378599273116,6.367493753972519,,,,,,0.45809611725161026,0.39944792348057107,0.4339712098978831,0.4900046449689095,0.29904058270632405,23.08354411315142,17.25806267732786,14.491324845448933,31.69150672201589,43.15746650220178,0.49866802764550816
min,30.0,,50.0,150.0,18.0,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,60.0,60.0,70.0,150.0,0.0
25%,42.0,,67.0,162.0,23.5,,,,,,0.0,0.0,0.0,0.0,0.0,119.0,75.0,72.0,97.0,187.0,0.0
50%,54.0,,85.0,174.0,29.0,,,,,,0.0,0.0,0.0,0.0,0.0,139.0,90.0,85.0,125.0,225.0,0.0
75%,67.0,,102.0,187.0,34.5,,,,,,1.0,0.0,1.0,1.0,0.0,159.0,104.0,97.0,152.0,262.0,1.0
max,79.0,,119.0,199.0,40.0,,,,,,1.0,1.0,1.0,1.0,1.0,179.0,119.0,109.0,179.0,299.0,1.0
